,target,SMS,target_num,SMS_clean,SMS_encoded,len_SMS
1206,spam,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",1,sim subscriber select receive bonus deliver door txt word ok 88600 claim 150pmsg exp 30apr,"[689, 1386, 254, 158, 376, 845, 701, 24, 122, 10, 2040, 49, 520, 4617, 4618]",15
1207,ham,I need you to be in my strong arms...,0,need strong arm,"[23, 1397, 1211]",3
1208,ham,Also maaaan are you missing out,0,maaaan miss,"[4619, 44]",2
1209,ham,His bday real is in april .,0,bday real april,"[506, 209, 1382]",3
1210,ham,Guessin you ain't gonna be here before 9?,0,guessin 9,"[4620, 235]",2
1211,ham,Ok then i will come to ur home after half an hour,0,ok come ur home half hour,"[10, 5, 4, 26, 196, 135]",6
1212,ham,"Yo, the game almost over? Want to go to walmart soon",0,yo game want walmart soon,"[202, 232, 15, 2080, 112]",5
1213,ham,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",0,yeah probably sure ilol let u know personally wuldnt bother ur goin mite,"[76, 240, 99, 4621, 72, 1, 8, 4622, 4623, 876, 4, 388, 1398]",13
1214,ham,I'll text now! All creepy like so he won't think that we forgot,0,ill text creepy like think forgot,"[17, 20, 2858, 14, 22, 724]",6
1215,ham,"that would be good Û_ I'll phone you tomo lunchtime, shall I, to organise something?",0,good û ill phone tomo lunchtime shall organise,"[9, 561, 17, 36, 452, 4624, 270, 4625]",8
1216,spam,You have 1 new voicemail. Please call 08719181513.,1,1 new voicemail 08719181513,"[79, 37, 2078, 2859]",4
1217,ham,"Damn, can you make it tonight or do you want to just wait til tomorrow",0,damn tonight want wait til tomorrow,"[1035, 114, 15, 50, 319, 74]",6
1218,ham,K..k..i'm also fine:)when will you complete the course?,0,kkim finewhen complete course,"[2081, 2860, 632, 545]",4
1219,ham,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.",0,true passable high score apply phd 5year salary life easy,"[310, 4626, 892, 1365, 234, 4627, 4628, 1628, 83, 215]",10
1220,spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,1,1 nokia tone 4 ur mob week txt nok 87021 1st tone free   txtin tell ur friend 150ptone 16 reply hl 4info,"[79, 104, 96, 7, 4, 312, 39, 24, 2861, 2082, 200, 96, 12, 1644, 21, 4, 63, 1399, 131, 29, 1080, 1645]",22
1221,ham,Prakesh is there know.,0,prakesh know,"[4629, 8]",2
1222,ham,Teach me apps da. When you come to college.,0,teach app da come college,"[636, 783, 43, 5, 514]",5
1223,ham,Rofl betta invest in some  anti aging products,0,rofl betta invest   anti age product,"[2083, 4630, 2862, 2084, 431, 4631]",6
1224,spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,winner u specially select 2 receive å1000 cash 4 holiday flight inc speak live operator 2 claim 0871277810810,"[465, 1, 781, 254, 3, 158, 221, 90, 7, 167, 782, 873, 159, 129, 507, 3, 49, 2439]",18
1225,ham,"sir, you will receive the account no another 1hr time. Sorry for the delay.",0,sir receive account 1hr time sorry delay,"[224, 158, 176, 2863, 18, 31, 2085]",7
1226,spam,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p,1,reply address receive post week completely free accommodation global location wwwphb1com ph08700435505150p,"[29, 378, 158, 295, 39, 789, 12, 4632, 4633, 960, 4634, 4635]",12
1227,ham,So Ì_'ll be submitting da project tmr rite?,0,ìll submit da project tmr rite,"[2425, 2864, 43, 522, 284, 423]",6
1228,spam,FREE entry into our å£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,1,free entry å250 weekly comp send word enter 84128 18 tc wwwtextcompcom cust care 08712405020,"[12, 298, 491, 335, 667, 13, 122, 316, 2865, 175, 342, 2866, 1611, 93, 1646]",15
1229,ham,Jus ans me lar. U'll noe later.,0,jus ans lar ull noe later,"[331, 831, 194, 1196, 398, 40]",6
1230,ham,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,0,want send sell fast   ltgt k easy money,"[15, 13, 447, 386, 11, 98, 215, 121]",8
1231,ham,have got * few things to do. may be in * pub later.,0,  thing   pub later,"[51, 446, 40]",3
1232,ham,1's finish meeting call me.,0,1s finish meeting,"[4636, 105, 363]",3
1233,ham,Lol ok. I'll snatch her purse too.,0,lol ok ill snatch purse,"[95, 10, 17, 4637, 2867]",5
1234,ham,"\Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx\""""",0,hellodrivby0quit edrunk sorry iff pthis senrddnot   dancce 2 drum n basqihave fun 2nhite x ros xxxxxxx,"[4638, 4639, 31, 4640, 4641, 4642, 4643, 3, 4644, 35, 4645, 243, 4646, 136, 4647, 4648]",16
1235,ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,0,opinion 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 mature 8 stylish 9 simple pls reply,"[753, 79, 3, 1557, 94, 1558, 7, 728, 164, 821, 226, 1559, 1008, 263, 1560, 374, 1320, 235, 404, 59, 29]",21
1237,ham,Is ur paper in e morn or aft tmr?,0,ur paper e morn aft tmr,"[4, 603, 78, 2086, 409, 284]",6
1238,ham,"Dear relieved of westonzoyland, all going to plan this end too!",0,dear relieve westonzoyland plan end,"[57, 4649, 4650, 123, 106]",5
1239,ham,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.,0,hope great new semester wish good greatness,"[46, 52, 37, 634, 102, 9, 4651]",7
1240,ham,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,0,oh yes speak txt 2 u hmm u   email,"[53, 75, 159, 24, 3, 1, 695, 1, 407]",9
1241,ham,"I want to show you the world, princess :) how about europe?",0,want world princess   europe,"[15, 205, 253, 2868]",4
1242,ham,Nobody can decide where to eat and dad wants Chinese,0,decide eat dad want chinese,"[292, 130, 271, 15, 1400]",5
1243,ham,No shoot me. I'm in the docs waiting room. :/,0,shoot m doc wait room,"[1281, 2, 1052, 50, 192]",5
1244,ham,Now? I'm going out 4 dinner soon..,0,m 4 dinner soon,"[2, 7, 220, 112]",4
1245,ham,Hello which the site to download songs its urgent pls,0,hello site download song urgent pls,"[146, 1368, 426, 477, 109, 59]",6
1246,ham,"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep! ",0,know u mean   king havin credit m goin2be night night sweet only1more sleep,"[8, 1, 117, 830, 2087, 291, 2, 4652, 47, 47, 208, 4653, 84]",13
1247,ham,Horrible gal. Me in sch doing some stuff. How come u got mc?,0,horrible gal sch stuff come u mc,"[1394, 563, 367, 154, 5, 1, 4654]",7
1248,ham,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x",0,hi hun m comin 2nitetell every1 m sorry 4 hope u ava goodtimeoli rang melnite ifink mite b sortedbut il explain everythin monl8rsx,"[41, 2088, 2, 672, 4655, 4656, 2, 31, 7, 46, 1, 4657, 4658, 2869, 4659, 4660, 1398, 108, 4661, 928, 1586, 4662, 4663]",23
1249,ham,"I call you later, don't have network. If urgnt, sms me.",0,later network urgnt sm,"[40, 244, 1269, 392]",4
1250,ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,0,ummmmmaah happy return d day dear sweet heart happy birthday dear,"[1955, 60, 519, 30, 16, 57, 208, 169, 60, 210, 57]",11
1251,spam,Please CALL 08712402779 immediately as there is an urgent message waiting for you,1,08712402779 immediately urgent message wait,"[4664, 740, 109, 61, 50]",5
1252,ham,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,0,yeah like like friend imma flip shit like half hour,"[76, 14, 14, 63, 1021, 2870, 217, 14, 196, 135]",10
1253,ham,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... ,0,mum wan shun bian watch da glass exhibition,"[444, 126, 4665, 4666, 103, 43, 4667, 4668]",8
1254,ham,What your plan for pongal?,0,plan pongal,"[123, 1879]",2
1255,ham,Just wait till end of march when el nino gets himself. Oh.,0,wait till end march el nino oh,"[50, 327, 106, 576, 4669, 4670, 53]",7
1256,ham,"Not yet chikku..going to room nw, i'm in bus..",0,chikkugoe room nw m bus,"[4671, 192, 1395, 2, 255]",5
1257,ham,Am also doing in cbe only. But have to pay.,0,cbe pay,"[1401, 147]",2
1258,ham,Honey boo I'm missing u.,0,honey boo m miss u,"[1053, 1183, 2, 44, 1]",5
1259,ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",0,send jd customer service cum account executive ur mail d detail contact,"[13, 2871, 116, 88, 555, 176, 2089, 4, 293, 30, 296, 92]",12
1260,ham,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem",0,yo m parent gettin cash good news pick downstem,"[202, 2, 461, 760, 90, 9, 450, 73, 4672]",9
1261,ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!",0,thank skype wit kz sura pleasure company hope good ve ultimatum oh countin aburo enjoy,"[65, 1187, 511, 2709, 1612, 869, 435, 46, 9, 67, 2710, 53, 2711, 2712, 170]",15
1262,spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",1,hungry gay guy feel hungry 4 08718730555 10pmin stop text 08712460324 10pmin,"[537, 925, 113, 64, 537, 7, 4673, 765, 28, 20, 1044, 765]",12
1263,ham,Ok. No wahala. Just remember that a friend in need ...,0,ok wahala remember friend need,"[10, 4674, 228, 63, 23]",5
1264,ham,I will see in half an hour,0,half hour,"[196, 135]",2
1265,ham,"Im in inperialmusic listening2the weirdest track ever byåÓleafcutter johnåÓ-sounds like insects being molested&someone plumbing,remixed by evil men on acid!",0,m inperialmusic listening2the weird track byåóleafcutter johnåósound like insect molestedsomeone plumbingremixe evil man acid,"[2, 4675, 4676, 1171, 1120, 4677, 4678, 14, 4679, 4680, 4681, 4682, 127, 4683]",14
1266,ham,"\Hey sorry I didntgive ya a a bellearlier hunnyjust been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx.\""""",0,hey sorry didntgive ya bellearli hunnyjust bedbut mite 2 thepub l8tr uwana mt upload luv jenxxx,"[55, 31, 4684, 124, 4685, 4686, 4687, 1398, 3, 4688, 2872, 4689, 1998, 1402, 203, 4690]",16
1267,ham,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.,0,seriously tell exact word right,"[775, 21, 1647, 122, 70]",5
1268,spam,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Callså£1/minmoremobsEMSPOBox45PO139WA,1,u 2 phone wanna chat 2 set meet 09096102316 u cum 2moro luv jane xx callså1minmoremobsemspobox45po139wa,"[1, 3, 36, 197, 118, 3, 358, 56, 4691, 1, 555, 1648, 203, 2090, 624, 2873]",16
1269,ham,"Tee hee. Off to lecture, cheery bye bye.",0,tee hee lecture cheery bye bye,"[2874, 570, 1635, 4692, 1552, 1552]",6
1270,ham,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..",0,sorry chikku cell problem tht y able reply u msg u,"[31, 643, 1054, 187, 611, 148, 307, 29, 1, 82, 1]",11
1271,ham,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,0,collect dough pls let know place send control number,"[237, 2875, 59, 72, 8, 110, 13, 2876, 62]",9
1272,ham,Ok...,0,ok,[10],1
1273,spam,network operator. The service is free. For T & C's visit 80488.biz,1,network operator service free t   cs visit 80488biz,"[244, 507, 88, 12, 356, 557, 495, 4693]",8
1274,ham,Let me know how to contact you. I've you settled in a room. Lets know you are ok.,0,let know contact ve settle room let know ok,"[72, 8, 92, 67, 882, 192, 72, 8, 10]",9
1275,ham,Wot u up 2 u weirdo?,0,wot u 2 u weirdo,"[336, 1, 3, 1, 4694]",5
1276,ham,Can do lor...,0,lor,[27],1
1277,ham,Dont put your phone on silent mode ok,0,phone silent mode ok,"[36, 821, 846, 10]",4
1278,ham,Can i meet Ì_ at 5.. As 4 where depends on where Ì_ wan 2 in lor..,0,meet ì 5 4 depend ì wan 2 lor,"[56, 45, 164, 7, 1007, 45, 126, 3, 27]",9
1279,ham,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,0,wait 4 tv 2 start lor u leh busy ur report,"[50, 7, 282, 3, 101, 27, 1, 274, 410, 4, 1121]",11
1280,ham,Oh ho. Is this the first time u use these type of words,0,oh ho time u use type word,"[53, 828, 18, 1, 160, 481, 122]",7
1281,ham,Am I the only one who doesn't stalk profiles?,0,stalk profile,"[2877, 2878]",2
1282,ham,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt""",0,green quote tell jerry cartoon person irritate u love u vry fail express    gud nyt,"[1610, 725, 21, 2879, 1336, 139, 1312, 1, 19, 1, 1143, 1192, 2091, 111, 608]",15
1283,ham,Yes i thought so. Thanks.,0,yes think thank,"[75, 22, 65]",3
1284,ham,But if she.s drinkin i'm ok.,0,s drinkin m ok,"[6, 2880, 2, 10]",4
1285,ham,"Just wondering, the others just took off",0,wonder,[339],1
1286,ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",0,night end day morning come special way smile like sunny ray leave worry blue blue bay gud mrng,"[47, 106, 16, 86, 5, 162, 66, 100, 14, 1118, 1290, 54, 219, 638, 638, 1521, 111, 513]",18
1287,ham,"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?",0,dog   wait till end day word   run time cell,"[430, 50, 327, 106, 16, 122, 201, 18, 1054]",9
1288,ham,Happy new year to u too!,0,happy new year u,"[60, 37, 91, 1]",4
1289,ham,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",0,heygreat dealfarm tour 9 5 pm 95pax 50 deposit 16,"[4695, 4696, 1212, 235, 164, 332, 4697, 815, 2881, 131]",10
1290,ham,Eat jap done oso aft ur lect wat... ÌÏ got lect at 12 rite... ,0,eat jap oso aft ur lect wat ìï lect 12 rite,"[130, 4698, 351, 409, 4, 788, 58, 134, 788, 536, 423]",11
1291,ham,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?",0,hey babe come online second disappear happen,"[55, 81, 5, 370, 375, 4699, 144]",7
1292,ham,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,0,da birthdate certificate april real date today publish shall special treat secret way thank wish,"[43, 2882, 4700, 1382, 209, 195, 25, 4701, 270, 162, 408, 485, 66, 65, 102]",15
1293,ham,Happy birthday... May all ur dreams come true...,0,happy birthday ur dream come true,"[60, 210, 4, 281, 5, 310]",6
1294,ham,Aiyah u did ok already lar. E nydc at wheellock?,0,aiyah u ok lar e nydc wheellock,"[1206, 1, 10, 194, 78, 2883, 4702]",7
1295,ham,TELL HER I SAID EAT SHIT.,0,tell eat shit,"[21, 130, 217]",3
1296,ham,Sure! I am driving but will reach my destination soon.,0,sure drive reach destination soon,"[99, 184, 141, 4703, 112]",5
1297,ham,"K so am I, how much for an 8th? Fifty?",0,k 8th,"[98, 1151]",2
1298,ham,Your daily text from me ÛÒ a favour this time,0,daily text ûò favour time,"[1166, 20, 827, 1649, 18]",5
1299,ham,Great to hear you are settling well. So what's happenin wit ola?,0,great hear settle s happenin wit ola,"[52, 174, 882, 6, 4704, 511, 2884]",7
1300,ham,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,0,cocksucker feel ipad worthless garbage novelty item feel bad want,"[4705, 64, 2092, 4706, 2885, 4707, 2886, 64, 191, 15]",10
1301,ham,I tot u reach liao. He said t-shirt.,0,tot u reach liao tshirt,"[384, 1, 141, 225, 4708]",5
1302,ham,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT",0,fran decide 2 n e way m completely break knackered bout 3 c u 2mrw love janx ps dad fone credit,"[2093, 292, 3, 35, 78, 66, 2, 789, 333, 2887, 523, 94, 85, 1, 1325, 19, 4709, 2094, 271, 488, 291]",21
1303,ham,I cant pick the phone right now. Pls send a message,0,pick phone right pls send message,"[73, 36, 70, 59, 13, 61]",6
1304,ham,Your right! I'll make the appointment right now.,0,right ill appointment right,"[70, 17, 1270, 70]",4
1305,ham,Designation is software developer and may be she get chennai:),0,designation software developer chennai,"[4710, 2095, 4711, 610]",4
1306,spam,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 ,1,enjoy jamster videosound gold club credit 2 new videosounds2 logosmusicnew fun jamstercouk 16only help 09701213186,"[170, 2888, 4712, 2889, 399, 291, 3, 37, 4713, 4714, 243, 4715, 2890, 119, 4716]",15
1307,spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",1,3 lion england tone reply lionm 4 mono lionp 4 poly 4 2 wwwringtonescouk original n good tone 3gbp network operator rate apply,"[94, 1650, 718, 96, 29, 2891, 7, 1562, 2892, 7, 442, 7, 3, 1651, 1403, 35, 9, 96, 1652, 244, 507, 247, 234]",23
1308,ham,I jokin oni lar.. ÌÏ busy then i wun disturb Ì_.,0,jokin oni lar ìï busy wun disturb ì,"[2893, 1460, 194, 134, 410, 956, 686, 45]",8
1309,ham,"Ok, be careful ! Don't text and drive !",0,ok careful   text drive,"[10, 1616, 20, 184]",4
1310,ham,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.",0,ill spirit ill bb soon try sure need,"[17, 4717, 17, 847, 112, 48, 99, 23]",8
1311,ham,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,0,u r close heart u away shatter plz stay,"[1, 32, 301, 169, 1, 324, 4718, 321, 214]",9
1312,ham,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,0,love u 2 babe r u sure alrite idiot txt bak girlie,"[19, 1, 3, 81, 32, 1, 99, 1213, 1653, 24, 877, 4719]",12
1313,ham,How abt making some of the pics bigger?,0,abt pic big,"[302, 241, 168]",3
1314,ham,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,0,2 colours lor colour light n e dark lor actually m s style hair,"[3, 2894, 27, 371, 489, 35, 78, 1654, 27, 251, 2, 6, 749, 328]",14
1315,ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)",0,whenevr ur sad whenevr ur gray remembr m 2 listn 2 watevr u wanna jus walk wid little whileamp promise ill bring ur smile,"[2096, 4, 390, 2096, 4, 4720, 2895, 2, 3, 4721, 3, 4722, 1, 197, 331, 259, 382, 269, 4723, 565, 17, 178, 4, 100]",24
1316,ham,Why nothing. Ok anyway give me treat,0,ok treat,"[10, 408]",2
1317,spam,"Win the newest ÛÏHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",1,win new ûïharry potter order phoenix book 5 reply harry answer 5 question   chance reader,"[33, 37, 4724, 2896, 318, 2897, 199, 164, 29, 2898, 248, 164, 230, 183, 2899]",15
1318,ham,Ok...,0,ok,[10],1
1319,ham,Correct. So how was work today,0,correct work today,"[622, 38, 25]",3
1320,ham,"Just sent again. Do you scream and moan in bed, princess?",0,send scream moan bed princess,"[13, 592, 1150, 246, 253]",5
1321,ham,"I wake up long ago already... Dunno, what other thing?",0,wake long ago dunno thing,"[177, 143, 642, 261, 51]",5
1322,ham,Oh just getting even with u.... u?,0,oh u u,"[53, 1, 1]",3
1323,ham,I thk 50 shd be ok he said plus minus 10.. Did Ì_ leave a line in between paragraphs?,0,thk 50 shd ok plus minus 10 ì leave line paragraph,"[145, 815, 1055, 10, 325, 4725, 492, 45, 54, 157, 4726]",11
1324,ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz,0,plz number coveragd area urgnt vasai amp reach 4o clock plz,"[321, 62, 4727, 601, 1269, 4728, 80, 141, 4729, 1349, 321]",11
1325,ham,Yeah jay's sort of a fucking retard,0,yeah jay sort fucking retard,"[76, 551, 458, 553, 4730]",5
1326,ham,"Sorry, was in the bathroom, sup",0,sorry bathroom sup,"[31, 4731, 1191]",3
1327,spam,Ur balance is now å£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,1,ur balance å500 ur question sing uptown girl 80   2 answer txt ur answer 83600 good luck,"[4, 1109, 422, 4, 230, 1178, 4732, 142, 4733, 3, 248, 24, 4, 248, 1534, 9, 662]",17
1328,ham,My exam is for february 4. Wish you a great day.,0,exam february 4 wish great day,"[484, 1655, 7, 102, 52, 16]",6
1329,ham,I dont know what to do to come out of this so only am ask questions like this dont mistake me.,0,know come ask question like mistake,"[8, 5, 42, 230, 14, 814]",6
1330,ham,"Aight no rush, I'll ask jay",0,aight rush ill ask jay,"[239, 1656, 17, 42, 551]",5
1331,ham,Good Morning plz call me sir,0,good morning plz sir,"[9, 86, 321, 224]",4
1332,ham,It's ok lar. U sleep early too... Nite...,0,ok lar u sleep early nite,"[10, 194, 1, 84, 150, 381]",6
1333,ham,"Oh... Icic... K lor, den meet other day...",0,oh icic k lor den meet day,"[53, 4734, 98, 27, 252, 56, 16]",7
1334,ham,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*",0,oh   half hour long syria canada eh   wow work day extra time   grin,"[53, 196, 135, 143, 4735, 2900, 615, 621, 38, 16, 655, 18, 661]",13
1335,ham,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)",0,wall heartsnot safe hurt find care break wall amp close goodnoon,"[1619, 4736, 677, 236, 71, 93, 333, 1619, 80, 301, 2901]",11
1336,ham,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that",0,sweet 4u meet carlos gauge patty interest,"[208, 893, 56, 543, 4737, 2902, 2903]",7
1337,ham,Then she buying today? ÌÏ no need to c meh...,0,buy today ìï need c meh,"[87, 25, 134, 23, 85, 820]",6
1338,ham,Aight sorry I take ten years to shower. What's the plan?,0,aight sorry year shower s plan,"[239, 31, 91, 572, 6, 123]",6
1339,ham,Every monday..nxt week vl be completing..,0,mondaynxt week vl complete,"[4738, 39, 1056, 632]",4
1340,ham,Might ax well im there.,0,ax m,"[4739, 2]",2
1341,ham,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay,0,chill 6hrs sleep pain surgical emergency unfold okay,"[2097, 1657, 84, 300, 4740, 4741, 4742, 303]",8
1342,ham,Yeah I'll try to scrounge something up,0,yeah ill try scrounge,"[76, 17, 48, 2576]",4
1343,ham,Crazy ar he's married. ÌÏ like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.,0,crazy ar s marry ìï like gd look guy fren like s korean leonas fave dun thk aft think mayb prob ill,"[448, 1020, 6, 648, 134, 14, 499, 97, 113, 708, 14, 6, 4743, 4744, 1926, 125, 145, 409, 22, 605, 427, 17]",22
1344,ham,Were somewhere on Fredericksburg,0,fredericksburg,[4745],1
1345,ham,Que pases un buen tiempo or something like that,0,que pase un buen tiempo like,"[1976, 4746, 4747, 4748, 4749, 14]",6
1346,ham,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired,0,ok stay night xavier sleep bag m tired,"[10, 214, 47, 2721, 84, 920, 2, 628]",8
1347,ham,She doesnt need any test.,0,need test,"[23, 304]",2
1348,ham,"Nothing much, chillin at home. Any super bowl plan?",0,chillin home super bowl plan,"[2098, 26, 1214, 1367, 123]",5
1349,spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk",1,free2day sexy st georges day pic jordantxt pic 89080 miss wk saucy celeb4 pic c pocketbabecouk 0870241182716 å3wk,"[2904, 280, 587, 2905, 16, 241, 2906, 241, 2907, 44, 329, 2099, 2908, 241, 85, 2077, 2909, 1643]",18
1350,ham,Bugis oso near wat... ,0,bugis oso near wat,"[943, 351, 752, 58]",4
1351,ham,Yo theres no class tmrw right?,0,yo s class tmrw right,"[202, 6, 151, 2910, 70]",5
1352,ham,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM,0,let ur heart ur compass ur mind ur map ur soul ur guide u loose worldgnun   send way2smscom,"[72, 4, 169, 4, 4750, 4, 188, 4, 1587, 4, 2911, 4, 1134, 1, 1962, 4751, 13, 4752]",18
1353,ham,"Goodnight, sleep well da please take care pa. Please.",0,goodnight sleep da care pa,"[889, 84, 43, 93, 245]",5
1354,ham,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...,0,baaaaabe misss youuuuu     teach class 5,"[4753, 4754, 4755, 636, 151, 164]",6
1355,ham,Convey my regards to him,0,convey regard,"[844, 1050]",2
1356,ham,U ned to convince him tht its not possible witot hurting his feeling its the main,0,u ne convince tht possible witot hurt feel main,"[1, 1387, 2912, 611, 924, 4756, 236, 64, 2913]",9
1357,ham,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy",0,good afternoon loverboy   day   luck come way think sweetie send love sea smile happy,"[9, 279, 1201, 16, 662, 5, 66, 22, 2914, 13, 19, 529, 100, 60]",14
1358,ham,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.,0,start send blackberry torch nigeria find buyer melike 4a month tell dad buy bb oh,"[101, 13, 1658, 1032, 866, 71, 2915, 4757, 2916, 171, 21, 271, 87, 847, 53]",15
1359,ham,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",0,ltgt pple marry lover becz hav gud undrstndng dat avoid problem send dis 2 u u wil gud news friday d person like tomorrow good day life break chain break suffer send   ltgt   frnd ltgt   min whn u read,"[11, 1659, 648, 685, 4758, 308, 111, 4759, 181, 1279, 187, 13, 267, 3, 1, 1, 417, 111, 450, 508, 30, 139, 14, 74, 9, 16, 83, 333, 2100, 333, 2101, 13, 11, 266, 11, 77, 2917, 1, 294]",39
1360,ham,Yo dude guess who just got arrested the other day,0,yo dude guess got arrest day,"[202, 337, 180, 344, 1404, 16]",6
1361,ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,0,shuhui change 2 suntec steamboat u noe r u,"[1022, 238, 3, 2102, 4760, 1, 398, 32, 1]",9
1362,ham,What does the dance river do?,0,dance river,"[1574, 2639]",2
